manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
M-Audio,Fast Track Pro,FastTrack Pro|Fast Track USB,studio audio interface,USB audio codec; mic preamp op-amps; pots,combined codec|ADC|standalone DAC|op-amp,probable,42,25,USB socket fault; noisy pot; missing knobs,burnt board; water damage; no USB,easy,Low-value but easy jacks/pots,Common USB interface; exact IC varies,Cheap only.
M-Audio,FireWire 1814,FW1814|M Audio 1814,studio audio interface,multichannel ADC/DAC; preamps; balanced drivers; FireWire controller,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,70,60,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
M-Audio,FireWire 410,FW410|Firewire410,studio audio interface,ADC/DAC; mic preamps; op-amps; FireWire controller,ADC|standalone DAC|op-amp,probable,55,40,FireWire compatibility; missing PSU; noisy pot,burnt FireWire chip; water damage; no sound,medium,Check FireWire damage before considering repair,Common legacy interface; exact chips verify,Cheap due obsolete FireWire.
M-Audio,ProFire 2626,Profire2626|M Audio 2626,studio audio interface,eight-channel ADC/DAC; mic preamps; balanced drivers; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,82,95,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
M-Audio,ProFire 610,Profire610|M Audio 610,studio audio interface,multichannel ADC/DAC; mic preamps; headphone amplifier,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,72,65,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
MOTU,828 MkII,828mk2|MOTU 828 mk2|828 Mark II,studio audio interface,multiple ADC/DAC; op-amps; clocking; PSU,ADC|standalone DAC|op-amp,probable,75,100,FireWire issue; display fault; missing PSU cable,burnt PSU; no boot; water damage,hard,Rack unit; many SMD parts; mains safety,Common pro interface; exact converters should be verified,May be worth more intact.
MOTU,828 MkIII,828MK3|MOTU 828 mk3,studio audio interface,multichannel ADC/DAC; DSP mixer; balanced I/O; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,82,100,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
MOTU,896HD,MOTU 896 HD,studio audio interface,eight-channel ADC/DAC; preamps; balanced line drivers; metering,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,80,95,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
MOTU,Traveler,MOTU Traveller|Traveler Mk1,studio audio interface,multichannel ADC/DAC; preamps; portable power circuitry,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,76,75,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
MOTU,Ultralite Mk3,UltraLite mk3|Ultralite Hybrid,studio audio interface,ADC/DAC; DSP mixer; op-amps; headphone amp,ADC|standalone DAC|DSP|op-amp,probable,70,90,FireWire/USB issue; encoder fault; missing PSU,burnt board; water damage; no audio,medium,Compact but dense SMD,Common interface; verify chip markings,Often still useful intact.
PreSonus,FirePod FP10,Firepod|FP10,studio audio interface,eight-channel ADC/DAC; eight preamps; balanced line stages,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,72,65,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Presonus,FireStudio Project,FireStudio|Firestudio Project,studio audio interface,multiple ADC/DAC; mic preamps; op-amps; FireWire controller,ADC|standalone DAC|op-amp,probable,60,55,FireWire issue; noisy preamp; missing PSU,burnt PSU; water damage; no boot,medium,Many analogue stages,Common legacy interface; exact ICs verify,Cheap FireWire donor.
RME,Fireface 400,FF400|RME FF400,studio audio interface,high-quality multichannel ADC/DAC; balanced stages; clocking; preamps,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,91,160,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
RME,Fireface 800,FF800|RME FF800,studio audio interface,high-quality multichannel ADC/DAC; preamps; balanced line stages; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,93,190,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
RME,Multiface II,Multiface2|HDSP Multiface II,studio audio interface,multichannel ADC/DAC; balanced drivers; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,86,120,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Steinberg,MR816 X,MR816X|Yamaha Steinberg MR816,studio audio interface,eight-channel ADC/DAC; Yamaha preamps; clocking; FireWire interface,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,82,100,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Tascam,US-122,US122|US-122L,studio audio interface,USB audio codec/converters; mic preamp op-amps,combined codec|ADC|standalone DAC|op-amp,probable,38,20,driver issue; noisy pot; USB socket fault,burnt board; water damage; no USB,easy,Low-value donor,Common interface; exact chip varies,Only as job-lot filler.
Tascam,US-144,US144|US-144MKII,studio audio interface,USB audio codec/converters; mic preamp op-amps,combined codec|ADC|standalone DAC|op-amp,probable,42,25,driver issue; noisy pot; USB socket fault,burnt board; water damage,easy,Low-value SMD donor,Common model; verify internals,Cheap only.
TC Electronic,Konnekt 24D,Konnekt24D|TC 24D,studio audio interface,ADC/DAC; mic preamps; DSP; balanced line stages,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,74,65,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
TC Electronic,Studio Konnekt 48,Konnekt48|SK48,studio audio interface,multichannel ADC/DAC; DSP; preamps; balanced drivers,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,82,95,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Yamaha,GO46,GO 46|Yamaha GO-46,studio audio interface,ADC/DAC; mic preamps; balanced I/O; FireWire interface,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,65,45,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
